,eventimage,eventtitle,placename,cityname,eventstartdate,eventDescripton
45,https://images.discotech.me/events/37168747/27625a82-9071-4673-a041-abd8cd89c9ec.jpeg?auto=format%2Ccompress,DJ Diesel & Kim Lee,EBC at Night,Las Vegas,"Friday, July 29, 2022 10:30 PM","Tickets
Use promo code DISCO to get a discount on your tickets!
View Tickets"
46,https://images.discotech.me/events/37179206/1fca4950-c21b-4681-bb12-25cf782337c2.jpg?auto=format%2Ccompress,DJ Pauly D,Marquee Nightclub,Las Vegas,"Friday, July 29, 2022 10:30 PM","Tickets
Tickets available online.
View Tickets"
47,https://images.discotech.me/events/None/661a02e2-c669-4bcb-8793-4cc4a4c5cb8d.jpg?auto=format%2Ccompress,DJ Shift,Tao,Las Vegas,"Friday, July 29, 2022 10:30 PM","Tickets
Tickets available online.
View Tickets"
48,https://images.discotech.me/events/37179087/83262008-7345-4c11-97c8-91bac995eab0.jpg?auto=format%2Ccompress,Justin Credible,Jewel,Las Vegas,"Friday, July 29, 2022 10:30 PM","Tickets
Tickets available online.
View Tickets"
49,https://images.discotech.me/venue_template/None/40e624d5-1331-49b0-ac54-3e5478e52b45.png?auto=format%2Ccompress,Latin Fridays,Embassy,Las Vegas,"Friday, July 29, 2022 10:30 PM","Bottle Service
Bottle Menu Floor Plan
Table Reservations close at 8:30 pm
Upstairs Table
6 GUESTS | $300.00 MIN
Table located upstairs.
Downstairs Table
6 GUESTS | $600.00 MIN
Main room downstairs table.
Dance Floor Table
10 GUESTS | $900.00 MIN
Table located on the first floor dance floor.
Downstairs Table (Large)
15 GUESTS | $1,000.00 MIN
Large main room downstairs table.
Dance Floor Table (Large)
15 GUESTS | $1,200.00 MIN
Large table located on the first floor dance floor."
50,https://images.discotech.me/events/37187282/1c09c1bb-4f91-4923-950a-6edec84e81f3.jpg?auto=format%2Ccompress,TYGA - Custom Made Fridays,Hakkasan,Las Vegas,"Friday, July 29, 2022 10:30 PM","Tickets
Tickets available online.
View Tickets"
51,https://images.discotech.me/events/37187309/e2e8eaf9-8582-482f-9ac8-5df3970049e0.jpeg?auto=format%2Ccompress,Usher Concert Afterparty,On the Record,Las Vegas,"Friday, July 29, 2022 10:30 PM","Tickets
Tickets available online.
View Tickets"
52,https://images.discotech.me/events/None/66fd8523-d38a-4de9-bf2b-6fb9eb809af6.jpeg?auto=format%2Ccompress,Drai's After Hours,Drai's After Hours,Las Vegas,"Friday, July 29, 2022 11:00 PM","Bottle Service
Bottle Menu Floor Plan
Table Reservations close at 9 pm
Banquette Table
4 GUESTS | $600.00 MIN
Banquette Table
5 GUESTS | $1,200.00 MIN
Owners Booth
8 GUESTS | $1,800.00 MIN SOLD OUT
Small VIP booth
7 GUESTS | $2,000.00 MIN
Large VIP booth
8 GUESTS | $2,500.00 MIN SOLD OUT
Dance floor Booth
10 GUESTS | $3,000.00 MIN
Large Dance Floor Booth
12 GUESTS | $3,000.00 MIN
DJ Dance floor
15 GUESTS | $4,000.00 MIN"
53,https://images.discotech.me/events/37232571/036273ec-ca20-409f-9a75-d8da62975d9a.jpg?auto=format%2Ccompress,Usher: My Way Residency Afterparty - A Taste of Passion,Park Theater at Park MGM,Las Vegas,"Friday, July 29, 2022 11:00 PM","Artists
Usher
Pop, R&B, Rap / Hip-Hop
31 Upcoming Events"
54,https://images.discotech.me/events/37236798/fb0a14f8-de81-4d3c-982d-8878ca6e2c8d.jpg?auto=format%2Ccompress,Spotlight: Vegas Underground,Terrace Afterhours,Las Vegas,"Friday, July 29, 2022 11:59 PM","Bottle Service
Bottle Menu Unavailable Floor Plan Unavailable
Table Reservations close at 9:59 pm
Patio Table
4 GUESTS | $500.00 MIN
VIP table on rooftop.
Discotech Special #2
8 GUESTS | $750.00 MIN
3 bottles of Hustler Brand Vodka and a table outdoors.
Dance Floor Table
10 GUESTS | $1,000.00 MIN
Rooftop table located on dance floor
Discotech Special #1
10 GUESTS | $1,000.00 MIN
3 premium bottles of liquor and a table outdoors. (buy 2 bottles get 1 free)
Dance Floor Table (Large)
15 GUESTS | $1,500.00 MIN
Rooftop table located on dance floor"
55,https://images.discotech.me/events/37216867/8a39075e-104f-4672-b4df-480f9fd72753.jpg?auto=format%2Ccompress,Nesto G & Friends Takeover - Friday Night After Hours Party,Club Ego,Las Vegas,"Saturday, July 30, 2022 1:00 AM","Bottle Service
Bottle Menu Floor Plan
Table Reservations close at 10 pm
Tables 11 - 12
5 GUESTS | $400.00 MIN
Tables 1 - 8
6 GUESTS | $500.00 MIN
Tables 9 - 10
8 GUESTS | $600.00 MIN"
